species,latitude_year_coef,latitude_year_SE,latitude_pvalue,latitude_rsquared,latitude_rsquared_adj,longitude_year_coef,longitude_year_SE,longitude_pvalue,longitude_rsquared,longitude_rsquared_adj
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASTRAPOGON ALUTUS,-0.15772931244734156,0.03706661484062352,0.0016754388624512912,0.6442233233069589,0.6086456556376547,0.08684007317724096,0.016075147565218065,3.0051072609535575e-4,0.7447874945399361,0.7192662439939297
ASTRAPOGON PUNCTICULATUS,1.9865833333335077,0.7212227487703947,0.22170296775514245,0.8835459969184646,0.7670919938369292,-0.37675000000001263,0.077862098803215,0.1297422317544503,0.9590379681052028,0.9180759362104056
ASTRAPOGON STELLATUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASTROSCOPUS Y-GRAECUM,-0.1643669609496526,0.08594771544443765,0.12838943014187942,0.47762254017833056,0.3470281752229132,0.7631790000992522,0.5207224316021706,0.21662663465291188,0.3493850392546098,0.18673129906826236
BAGRE MARINUS,-0.02968268254936373,0.07995330711577393,0.7181956974064397,0.013595292833865603,-0.0850451778827479,-0.2334835608761107,0.23199065543809172,0.3379378189096923,0.091974931115998207,0.0011724242275978902
BAIRDIELLA BATABANA,-0.02193962167409661,0.008266475340502764,0.11747057435287148,0.7788581871330535,0.6682872806995803,0.013468562686921958,0.017239477839229644,0.5164448867831177,0.23382554751823173,-0.1492616787226524
BAIRDIELLA CHRYSOURA,0.007346691838282807,0.09147589648859387,0.9379612040478779,8.056201010924953e-4,-0.12409367738627086,0.09712715720498095,0.619417181962646,0.8792842734255502,0.0030640238449208164,-0.12155297317446423
BAIRDIELLA SANCTAELUCIAE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALDWINELLA AUREORUBENS,-0.3169920536560375,0.21914406970796954,0.2438254918855638,0.410882684090263,0.21451024545368413,-0.8780287599328924,0.5241812389798234,0.1925182903136327,0.4832740953444208,0.31103212712589445
BALISTES CAPRISCUS,0.0017414209645752999,0.048852764831594196,0.9722659018949591,1.2704982203694238e-4,-0.09986024519575953,-0.1437575284195749,0.06804059090303662,0.06075326316304529,0.3086287390430244,0.2394916129473268
BATHYANTHIAS CUBENSIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHYANTHIAS MEXICANA,-0.050599575447517454,0.06849797721107859,0.48796643948798146,0.08336494432025325,-0.06940756495970457,-0.1912435744512888,0.18215431299367243,0.33420141855096014,0.15520172835533175,0.014402016414553631
