species,latitude_year_coef,latitude_year_SE,latitude_pvalue,latitude_rsquared,latitude_rsquared_adj,longitude_year_coef,longitude_year_SE,longitude_pvalue,longitude_rsquared,longitude_rsquared_adj
CONODON NOBILIS,-0.004424642984440198,0.008111084392978585,0.5886795646894403,0.007978440573902228,-0.018832952924100477,0.0018690395122257075,0.0030700001029102023,0.5463719126513564,0.009918124859433199,-0.016840844738960525
CORNIGER SPINOSUS,-0.05966666666666591,NA,NA,1,NA,0.44312499999999577,NA,NA,1,NA
CORVULA BATABANA,0.12949736723339028,0.324644443777839,0.7285341094151017,0.07369372975105278,-0.38945940537342083,-0.0688293007948488,0.22911183825561326,0.7922090560912417,0.04317707637048422,-0.43523438544427373
CORYPHAENA HIPPURUS,-0.05394435609476261,0.03758701066080674,0.24673075365046193,0.40708640918193184,0.2094485455759092,0.03356513648659907,0.1782420185503767,0.8626501570179655,0.011682396114290264,-0.3177568051809463
CORYPHAENOIDES MEXICANUS,-0.2121183060313595,NA,NA,1,NA,-0.6325953927305312,NA,NA,1,NA
CORYPHAENOIDES ZANIOPHORUS,-0.22959590465668525,NA,NA,1,NA,-0.6617389839866691,NA,NA,1,NA
CORYPHOPTERUS DICRUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CORYPHOPTERUS PUNCTIPECTOPHORUS,-0.0627333333333271,NA,NA,1,NA,-0.3832266666666318,NA,NA,1,NA
COSMOCAMPUS ALBIROSTRIS,-0.1036840136054492,0.12315852696072317,0.42768009284850195,0.0919412754983588,-0.037781399430447005,0.04496406250000524,0.06460940302657252,0.5089079530355267,0.06471229668573532,-0.06890023235915965
COSMOCAMPUS ELUCENS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRYPTOTOMUS ROSEUS,-0.0440943350395624,0.07361508574545662,0.5603209398809834,0.029030615331519027,-0.05188350005752085,0.0029227984538691765,0.029644777315253747,0.9230884091947519,8.094097705440551e-4,-0.08245647274857726
CTENOGOBIUS BOLEOSOMA,-0.02900413899081212,0.018477804601373493,0.16048137874248056,0.26034550142045426,0.15468057305194782,-0.03010573954064004,0.08607341101118499,0.7367996883238437,0.017176631793148323,-0.1232267065221162
CYCLOPSETTA CHITTENDENI,-0.018119223234850174,0.0025195539819892927,2.1666804361842594e-8,0.5963874154487274,0.5848556273186911,-0.08129036001840911,0.013951921337228208,1.307261724929988e-6,0.4923686810343366,0.4778649290638891
CYCLOPSETTA FIMBRIATA,-0.052503147207721854,0.007969967187596504,7.930312729401868e-8,0.5266805909422609,0.5145441958382164,0.19116198701167522,0.04023007648102188,2.7326658319384634e-5,0.3666654178767993,0.3504260696172301
CYNOSCION ARENARIUS,-0.007537039648034948,0.002240543627460034,0.001959569695843946,0.2553487661169404,0.2327835772113932,-0.033421887095416526,0.012775280364675888,0.013309992859309663,0.17177352397929313,0.14667575197866567
CYNOSCION NEBULOSUS,-0.0514765432666821,0.030488300329303646,0.12222203982630427,0.22183259481419673,0.14401585429561625,0.33291751079476933,0.08754698954671486,0.003470261280511046,0.5911818057628008,0.5502999863390808
CYNOSCION NOTHUS,-0.005130990763705217,0.0028652900315357553,0.08251267220626023,0.08856777375998022,0.06094861538907059,-0.04108545632174101,0.015278885083015474,0.011148094668060014,0.17973516497587433,0.15487865482362806
