species,latitude_year_coef,latitude_year_SE,latitude_pvalue,latitude_rsquared,latitude_rsquared_adj,longitude_year_coef,longitude_year_SE,longitude_pvalue,longitude_rsquared,longitude_rsquared_adj
CANTHIGASTER ROSTRATA,-0.04332215174668665,0.13031619933799837,0.7481013368808882,0.013626200304818065,-0.10967052465707972,-0.009412486490532933,0.06670566237656377,0.8912755959665638,0.0024826403244257145,-0.12220702963502106
CARANX CRYSOS,-0.037619462478351094,0.03144524916645279,0.2591552306926768,0.12520492702135846,0.03772541972349419,-0.008516143123617835,0.1213025610571531,0.945413992974106,4.92642593846999e-4,-0.09945809314676834
CARANX HIPPOS,-0.03800753684114618,0.060183061324527366,0.5418588692583635,0.038353614904891094,-0.05781102360461987,0.2531536582473616,0.3155212007565788,0.4410099050743793,0.06048072880633799,-0.03347119831302825
CARCHARHINUS ACRONOTUS,0.10183185391515442,0.11270513158596819,0.38749498569664076,0.07547427020367883,-0.016978302775953358,-0.6935053617166682,0.3630470247485041,0.08517173655519054,0.2673456016034515,0.1940801617637965
CAULOLATILUS CYANOPS,-0.13341810911515073,0.1324235243856112,0.3472394611647391,0.12664601889647786,0.0018811644531175897,0.32377529565633945,0.23341174814562782,0.2079589116356411,0.2156127662056712,0.10355744709219583
CAULOLATILUS INTERMEDIUS,-0.0423009199187026,0.039124628154521626,0.30274887171529163,0.0960607028698544,0.013884403130750234,-0.20714337484361411,0.09717631758372597,0.056420255081383826,0.29232329933399515,0.2279890538189039
CENTROPRISTIS OCYURUS,0.016589881798631596,0.030231579314306783,0.594133338955923,0.02664665821510462,-0.06184000921988586,-0.041004808199364785,0.03323550058736648,0.24300193608907736,0.12155848724419305,0.0417001679027561
CENTROPRISTIS PHILADELPHICA,-0.02009313409526864,0.008414471992045801,0.03599318511818522,0.34140370240174345,0.2815313117109929,-0.11026610222260935,0.036933556621381834,0.012396438452305309,0.44760722497063465,0.39738969996796514
CENTROPRISTIS STRIATA,-0.06378485787387703,0.028117141478455596,0.04948103822254977,0.3637900409445631,0.29310004549395896,0.034883571783994635,0.031964735517371334,0.3034870608604667,0.11686494928711243,0.018738832541235984
CHAETODIPTERUS FABER,-0.07301583201566304,0.016561455982884086,0.0013169208082002557,0.6602955050621048,0.6263250555683152,0.28862745449957594,0.0967887037714991,0.013759696627515774,0.4706906071687718,0.4177596678856489
CHAETODON OCELLATUS,-0.0635810862743881,0.034528484124602854,0.09537818739141822,0.25321805641838335,0.17853986206022165,0.028841682296294392,0.024883675130163516,0.2733599038844223,0.11843173209856932,0.030274905308426137
CHAETODON SEDENTARIUS,-0.1769044107653675,0.06921232284800416,0.02670977190785473,0.3726104702600958,0.3155750584655592,-0.10284490300753323,0.1256136806979831,0.430315497793504,0.0574391961895461,-0.028248149611404205
CHILOMYCTERUS SCHOEPFII,-0.1050046676036244,0.03834077262009721,0.01927548055175194,0.40542440190398543,0.35137207480434784,0.4927852485023321,0.1251398851563702,0.00232048069001184,0.5850131024956237,0.5472870209043168
CHLOROSCOMBRUS CHRYSURUS,-0.07023638157188368,0.0326047219385648,0.054251187456241336,0.2966969458352264,0.23276030454751984,0.16446386924499756,0.09892014811662982,0.12459451841551947,0.20082607903634866,0.12817390440328946
CHROMIS ENCHRYSURA,-0.13557969216121332,0.09907147894673712,0.1984543579144585,0.14548522374996775,0.06780206227269214,-0.13311108399417426,0.23713140637977523,0.5858205515880652,0.02784786066405559,-0.06052960654830297
CITHARICHTHYS CORNUTUS,0.0037030286408952793,0.09124405803841233,0.9689444611834567,2.7443184604741876e-4,-0.16634649617961128,0.20384803180347882,0.3136949256437034,0.5398691901199537,0.06575200241089478,-0.08995599718728964
CITHARICHTHYS GYMNORHINUS,-0.05739878179843342,0.06046805074208792,0.3672891595388903,0.09100636072807738,-0.009992932524358622,-0.040219705906171126,0.06271926796436054,0.5373361810952784,0.04369480690068087,-0.06256132566591033
